Active Row,Habit,Habit_singular,Habit_addl_kws,Familia,Familia_Common_Name,Genus,Genus_Common_Name,Genus_Common_Name_decomposed,Genus_Common_Name_singular,Genus_Common_Name_singular_decomposed,Genus_addl_kws,Binomen,Common_Name,Binomen_Weighted_kws,Common_Name_decomposed,Common_Name_addl_kws,Species_Common_Names_WP,Species_Common_Names_WP_decomposed,Lifecycle Description,Poll. Season,Start Pollination,Peak Poll. Start,Peak Poll. End,End Pollination,Significant_Stands_Around_Austin?,Sectors_Around_Austin,Affected by Time of Day Notes,Affected by Humidity Notes,Affected by Rain Notes
Y,All fungi,fungus,fungi,Fungus,Fungus,Unspecified fungi,Unspecified fungus,,,,,Unspecified fungi,Unspecified fungi,,,"fungi, fungal, spore, spores",,,,,,,,,,,,,
Y,All fungi,fungus,fungi,Other fungi,Other fungi,Other fungi,Other fungi,,,,,Other fungi,Other fungi,,,,,,,,,,,,,,,,
Y,All grasses,grass,,Other grasses,Other grasses,Other grasses,Other grasses,,,,,Other grasses,Other grasses,,,,,,,,,,,,,,,,
Y,All grasses,grass,,Brassicaceae,"The mustard, crucifer, and cabbage family",Brassica,All mustard plants,,mustard plant,,,Brassica juncea,Chinese Mustard,,,china," brown mustard, Chinese mustard, Indian mustard, leaf mustard, Oriental mustard, vegetable mustard",,,"Su, F",,,,,,,,,
Y,All grasses,grass,,Brassicaceae,"The mustard, crucifer, and cabbage family",Brassica,All mustard plants,,mustard plant,,,Brassica rapa,Field Mustard,,,,"turnip rape, field mustard, bird rape, keblock",,,"Su, F, W",,,,,,,,,
Y,All grasses,grass,,Poaceae (Gramineae),The grass family,Agrostis,All bentgrass,bent-grass,bentgrass,bent-grass,,Agrostis hyemalis,Winter Bent,,,grass,,,"Grass can last from March to September, with the highest counts typically appearing in May and June","Su, W",,,,,,,,,
Y,All grasses,grass,,Poaceae (Gramineae),The grass family,Cynodon,All Bermuda grasses,,Bermuda grass,,,Cynodon dactylon,Bermuda Grass,,,,"dog's tooth grass, Bahama grass, devil's grass, couch grass, wiregrass, scutch grass",wire-grass,"Grass can last from March to September, with the highest counts typically appearing in May and June","Su, F",,,,,,,,,
Y,All grasses,grass,,Poaceae (Gramineae),The grass family,Dactylis,All orchard grasses,,orchard grass,,,Dactylis glomerata,Orchard Grass,,,," cock's-foot, cat grass",cat-grass,"Grass can last from March to September, with the highest counts typically appearing in May and June","Su, F",,,,,,,,,
Y,All grasses,grass,,Poaceae (Gramineae),The grass family,Lolium,All ryegrasses,rye-grasses,ryegrass,rye-grass,,Lolium perenne,Perennial Ryegrass,,rye-grass,,"English ryegrass, winter ryegrass, ray grass","rye-grass, ray-grass","Grass can last from March to September, with the highest counts typically appearing in May and June","Su, F",,,,,,,,,
Y,All grasses,grass,,Poaceae (Gramineae),The grass family,Zea,All corn,,corn,,,Zea mays,Corn,,,grass,"indian corn, maize",,"Grass can last from March to September, with the highest counts typically appearing in May and June","Su, F",,,,,,,,,
Y,All grasses,grass,,Urticaceae,The nettle family (including pellitories),Parietaria,All pellitories,,pellitory,,,Parietaria pensylvanica,Pennsylvania Pellitory,,,pennsylvanian,,,,"Su, F, W",,,,,,,,,
Y,All molds,mold,,Unspecified mold family,Unspecified mold family,Unspecified mold genus,Unspecified mold genus,,,,,Unspecified mold,Unspecified mold,mold,,,,,,,,,,,,,,,
Y,All molds,mold,,Pleosporaceae,The sac fungi family,Mold (Alternaria),Mold (Alternaria),,,,,,,,,,Deuteromycetes,,"Mold is present to varying degrees all year, with higher counts in summer and fall",,,,,,,,,,
Y,All trees,tree,,Other trees,Other trees,Other trees,Other trees,,,,,Other trees,Other trees,,,,,,,,,,,,,,,,
Y,All trees,tree,,Cannabaceae,The hemp family (including hackberries),Celtis,All hackberries,hack-berries,hackberry,hack-berry,,Celtis occidentalis,Common Hackberry,,hack-berry,,"nettletree, sugarberry, beaverwood, northern hackberry, American hackberry","nettle-tree, sugar-berry, beaver-wood, hack-berry",,,,,,,,,,,
Y,All trees,tree,,Cupressaceae,The cypress family (including junipers and cedars),Juniperus,All junipers,,juniper,,,Juniperus ashei,Mountain Cedar,cedar,,"mt, mtn, mount","Ashe Juniper, Blueberry Juniper, Post Cedar",blue-berry X,Counts typically peak in January to early February,W,Dec. 10,Jan. 1,Jan. 21,Mar. 1,Yes,ENE-SSW,,,
Y,All trees,tree,,Cupressaceae,The cypress family (including junipers and cedars),Juniperus,All junipers,,juniper,,,Juniperus pinchotii,Redberry Juniper,,red-berry X,,Pinchot juniper,,,,,,,,,,,,
Y,All trees,tree,,Cupressaceae,The cypress family (including junipers and cedars),Juniperus,All junipers,,juniper,,,Juniperus virginiana,Eastern Red Cedar,,,,"eastern Virginian juniper, eastern juniper, red juniper",,,Sp,,,,,,,,,
Y,All trees,tree,,Fabaceae,The legume family (including mesquites),Prosopis,All mesquites,,mesquite,,,Prosopis glandulosa,Honey Mesquite,,,,,,,,,,,,,,,,
Y,All trees,tree,,Fabaceae,The legume family (including mesquites),Prosopis,All mesquites,,mesquite,,,Prosopis velutina,Velvet Mesquite,,,,,,,,,,,,,,,,
Y,All trees,tree,,Fagaceae,The beech family (including oaks),Quercus,All oaks,,oak,,,Quercus macrocarpa,Burr Oak,,,bur,"mossycup oak, mossycup white oak, blue oak, scrub oak",mossy-cup X,Oak peaks between end of March and the beginning of April,,,,,,,,,,
Y,All trees,tree,,Fagaceae,The beech family (including oaks and chestnuts),Quercus,All oaks,,oak,,,Quercus marilandica,Blackjack Oak,,black-jack X,,,,Oak peaks between end of March and the beginning of April,,,,,,,,,,
Y,All trees,tree,,Fagaceae,The beech family (including oaks and chestnuts),Quercus,All oaks,,oak,,,Quercus shumardii,Shumard’s Oak,,,,"Shumard oak, spotted oak, Schneck oak, Shumard red oak, swamp red oak",,Oak peaks between end of March and the beginning of April,,,,,,,,,,
